dateExam,h_debut,h_fin,session,type ex,semestre,enseignant,cod_salle
29/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,019,A131
29/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,019,A102
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,032,C401
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,032,C402
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,034,A207
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,034,A406
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,037,C401
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,037,C402
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,038,A207
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,038,A406
29/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,043,A329
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,053,C201
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,053,C202
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,065,A102
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,066,A012
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,071,B302
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,071,B303
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,071,A012
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,075,C201
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,075,C202
29/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,076,A124
29/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,076,A131
29/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,076,A102
29/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,080,B302
29/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,080,B303
29/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,080,B402
29/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,084,B302
29/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,084,B303
29/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,084,B402
29/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,087,A329
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,096,A206
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,096,A208
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,096,A209
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,096,A102
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,098,A405
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,098,A407
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,098,A408
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,098,B103
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,098,B203
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,098,B402
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,113,A405
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,113,A407
29/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,113,A408
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,000,A102
30/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,006,B302
30/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,006,B303
30/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,006,B402
30/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,011,A124
30/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,011,A131
30/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,011,A102
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,015,B103
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,015,B203
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,015,B402
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,018,A206
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,018,A208
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,018,A209
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,018,B302
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,018,B303
30/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,023,B302
30/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,023,B303
30/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,023,B402
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,025,B103
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,025,B203
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,025,B402
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,052,C201
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,052,C202
30/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,057,A329
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,058,A012
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,063,A012
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,066,A405
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,066,A407
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,066,A408
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,071,C201
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,071,C202
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,086,A206
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,086,A208
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,086,A209
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,087,B302
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,087,B303
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,087,A207
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,087,A207
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,087,A406
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,087,A406
30/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,100,A102
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,143,A405
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,143,A407
30/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,143,A408
31/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,003,B103
31/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,003,B203
31/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,003,B402
31/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,026,A124
31/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,026,A131
31/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,026,A102
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,037,A012
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,051,C201
31/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,051,C201
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,051,C202
31/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,051,C202
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,058,A405
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,058,A407
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,058,A408
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,065,A102
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,084,B302
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,084,B303
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,099,B103
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,099,B203
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,099,B402
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,219,A206
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,219,A208
31/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,219,A209
31/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,219,B302
31/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,219,B303
